,Releasing_date,rating,title
0,26 April 2013 (India),7.0/10,Aashiqui 2 (2013)
1,6 July 2016 (India),7.2/10,Sultan (2016)
2,13 January 1995 (India),6.9/10,Karan Arjun (1995)
3,29 January 1993 (India),6.8/10,Tirangaa (1992)
4,29 April 2005 (USA),4.4/10,xXx: State of the Union (2005)
5,25 January 2017 (India),7.2/10,Kaabil (2017)
6,25 January 2017 (India),7.2/10,Raees (2017)
7,20 October 1995 (India),8.2/10,Dilwale Dulhania Le Jayenge (1995)
8,10 February 2017 (India),7.5/10,Jolly LLB 2 (2017)
9,11 December 2009 (India),7.5/10,Rocket Singh: Salesman of the Year (2009)
10,14 October 1994 (USA),8.9/10,Pulp Fiction (1994)
11,1 October 1999 (USA),8.4/10,American Beauty (1999)
12,18 December 2009 (India),7.8/10,Avatar (2009)
13,4 February 1994 (USA),8.9/10,Schindler's List (1993)
14,20 June 1980 (USA),8.8/10,Star Wars: Episode V - The Empire Strikes Back (1980)
15,17 June 2005 (India),8.3/10,Batman Begins (2005)
16,14 February 1991 (USA),8.6/10,The Silence of the Lambs (1991)
17,10 October 2003 (USA),8.1/10,Kill Bill: Vol. 1 (2003)
18,16 March 2007 (India),7.7/10,300 (2006)
19,20 October 2006 (USA),8.5/10,The Prestige (2006)
20,10 December 1999 (USA),8.5/10,The Green Mile (1999)
21,29 August 2008 (India),8.4/10,WALL·E (2008)
22,18 May 2001 (USA),7.9/10,Shrek (2001)
23,6 July 1994 (USA),8.8/10,Forrest Gump (1994)
24,31 March 1999 (USA),8.7/10,The Matrix (1999)
